Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Manuel Almunia,Goalkeeper,27,Celta de Vigo,La Liga 2,Arsenal,Premier League,2004-2005,NA,5000000
Marcel,Centre-Forward,23,Suwon Bluewings,K League,Coimbra,Liga NOS,2004-2005,NA,1800000
Marcelo Bordon,Centre-Back,28,VfB Stuttgart,1.Bundesliga,FC Schalke 04,1.Bundesliga,2004-2005,NA,4000000
Marco Caneira,Centre-Back,25,G. Bordeaux,Ligue 1,Valencia CF,La Liga,2004-2005,NA,2000000
Marco Di Vaio,Centre-Forward,27,Juventus,Serie A,Valencia CF,La Liga,2004-2005,NA,11000000
Marek Heinz,Centre-Forward,26,Banik Ostrava,Czech First League,Bor. M'gladbach,1.Bundesliga,2004-2005,NA,2300000
Mariano Gonzalez,Right Midfield,23,Racing Club,Argentine Primera Division,US Palermo,Serie A,2004-2005,NA,3500000
Mario Yepes,Centre-Back,28,FC Nantes,Ligue 1,Paris SG,Ligue 1,2004-2005,NA,10000000
Mark Viduka,Centre-Forward,28,Leeds,English Championship,Middlesbrough,Premier League,2004-2005,NA,6750000
Martin Albrechtsen,Centre-Back,24,FC Copenhagen,Superligaen,West Brom,Premier League,2004-2005,NA,3750000
Martin Jiranek,Centre-Back,25,Reggina,Serie A,Spartak Moscow,Premier Liga,2004-2005,NA,3300000
Martin Laursen,Centre-Back,26,AC Milan,Serie A,Aston Villa,Premier League,2004-2005,NA,4000000
Mateja Kezman,Centre-Forward,25,PSV Eindhoven,Eredivisie,Chelsea,Premier League,2004-2005,NA,7500000
Mathieu Berson,Defensive Midfield,24,FC Nantes,Ligue 1,Aston Villa,Premier League,2004-2005,NA,2300000
Matteo Brighi,Central Midfield,23,Juventus,Serie A,AS Roma,Serie A,2004-2005,NA,16000000
Matteo Brighi,Central Midfield,23,Parma,Serie A,Juventus,Serie A,2004-2005,NA,11500000
Matteo Ferrari,Centre-Back,24,Parma,Serie A,AS Roma,Serie A,2004-2005,NA,7000000
Matuzalem,Defensive Midfield,24,Brescia,Serie A,Shakhtar D.,Premier Liga,2004-2005,NA,14000000
Mauro Rosales,Right Midfield,23,Newell's,Argentine Primera Division,AFC Ajax,Eredivisie,2004-2005,NA,2500000
Maxi Lopez,Centre-Forward,20,River Plate,Argentine Primera Division,FC Barcelona,La Liga,2004-2005,NA,6500000
Michael Carrick,Defensive Midfield,23,West Ham,English Championship,Spurs,Premier League,2004-2005,NA,4100000
Michael Dawson,Centre-Back,21,Nottm Forest,English Championship,Spurs,Premier League,2004-2005,1000000,7000000
Michael Owen,Centre-Forward,24,Liverpool,Premier League,Real Madrid,La Liga,2004-2005,NA,12000000
Mido,Centre-Forward,21,Marseille,Ligue 1,AS Roma,Serie A,2004-2005,NA,6000000
Mikel Arteta,Central Midfield,22,Rangers,Scottish Football League,Real Sociedad,La Liga,2004-2005,NA,4000000
Milos Krasic,Central Midfield,19,Vojvodina,Serbian SuperLiga,CSKA Moscow,Premier Liga,2004-2005,NA,2250000
Miroslav Klose,Centre-Forward,26,1.FC K'lautern,1.Bundesliga,Werder Bremen,1.Bundesliga,2004-2005,NA,5000000
Mladen Petric,Centre-Forward,23,Grasshoppers,Swiss Super League,FC Basel,Swiss Super League,2004-2005,NA,1750000
Mohamed Kallon,Centre-Forward,24,Inter,Serie A,Monaco,Ligue 1,2004-2005,NA,5000000
Morten Gamst Pedersen,Central Midfield,22,Tromso,Norwegian Eliteserien,Blackburn,Premier League,2004-2005,NA,2250000
Nemanja Vidic,Centre-Back,22,Red Star,Serbian SuperLiga,Spartak Moscow,Premier Liga,2004-2005,NA,4450000
Nicky Butt,Central Midfield,29,Man Utd,Premier League,Newcastle,Premier League,2004-2005,NA,3750000
Nicolas Anelka,Centre-Forward,25,Man City,Premier League,Fenerbahce,Super Lig,2004-2005,15000000,10700000
Nicolas Burdisso,Centre-Back,23,Boca Juniors,Argentine Primera Division,Inter,Serie A,2004-2005,NA,3500000
Nigel Quashie,Central Midfield,26,Portsmouth,Premier League,Southampton,Premier League,2004-2005,2500000,3150000
Niko Kranjcar,Attacking Midfield,20,Dinamo Zagreb,1.HNL,Hajduk Split,Croatian First Football League,2004-2005,5000000,1500000
Nilmar,Centre-Forward,20,Internacional,Campeonato Brasileiro Serie A,Olympique Lyon,Ligue 1,2004-2005,NA,5750000
Noe Pamarot,Centre-Back,25,OGC Nice,Ligue 1,Spurs,Premier League,2004-2005,NA,2400000
Onder Turaci,Centre-Back,22,Standard Liege,Jupiler Pro League,Fenerbahce,Super Lig,2004-2005,NA,1700000
Pablo Ibanez,Centre-Back,22,Albacete,La Liga,Atletico Madrid,La Liga,2004-2005,NA,3000000
Papa Bouba Diop,Defensive Midfield,26,Lens,Ligue 1,Fulham,Premier League,2004-2005,NA,9000000
Paul Freier,Right Midfield,24,VfL Bochum,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2004-2005,NA,3500000
Paul Robinson,Goalkeeper,24,Leeds,English Championship,Spurs,Premier League,2004-2005,NA,3000000
Paulo Assuncao,Defensive Midfield,24,Nacional,Liga NOS,FC Porto,Liga NOS,2004-2005,NA,2000000
Paulo Ferreira,Right-Back,25,FC Porto,Liga NOS,Chelsea,Premier League,2004-2005,NA,20000000
Pedro Benitez,Centre-Back,23,Cerro Porteno,Paraguayan Primera DivisiÛn,Shakhtar D.,Premier Liga,2004-2005,NA,1700000
Pedro Mendes,Defensive Midfield,25,FC Porto,Liga NOS,Spurs,Premier League,2004-2005,NA,3000000
Peguy Luyindula,Centre-Forward,25,Olympique Lyon,Ligue 1,Marseille,Ligue 1,2004-2005,NA,10000000
Pepe,Centre-Back,21,Maritimo,Liga NOS,FC Porto,Liga NOS,2004-2005,NA,2000000
Peter Crouch,Centre-Forward,23,Aston Villa,Premier League,Southampton,Premier League,2004-2005,NA,3000000
Peter Luccin,Defensive Midfield,25,Celta de Vigo,La Liga 2,Atletico Madrid,La Liga,2004-2005,NA,5000000
Petr Cech,Goalkeeper,22,Stade Rennais,Ligue 1,Chelsea,Premier League,2004-2005,NA,13000000
Philippe Mexes,Centre-Back,22,AJ Auxerre,Ligue 1,AS Roma,Serie A,2004-2005,NA,7000000
Pierre-Alain Frau,Centre-Forward,24,FC Sochaux,Ligue 1,Olympique Lyon,Ligue 1,2004-2005,NA,8500000
Radoslav Kovac,Centre-Back,25,Sparta Praha,Czech First League,Spartak Moscow,Premier Liga,2004-2005,50000,4000000
Ricardo Carvalho,Centre-Back,26,FC Porto,Liga NOS,Chelsea,Premier League,2004-2005,NA,30000000
Ricardo Fuller,Centre-Forward,24,Preston NE,English Championship,Portsmouth,Premier League,2004-2005,NA,2500000
Ricardo Oliveira,Centre-Forward,24,Valencia CF,La Liga,Real Betis,La Liga,2004-2005,NA,4000000
Ricardo Quaresma,Right Winger,20,FC Barcelona,La Liga,FC Porto,Liga NOS,2004-2005,NA,6000000
Richard Chaplow,Central Midfield,20,Burnley,English Championship,West Brom,Premier League,2004-2005,50000,2250000
Rigobert Song,Centre-Back,28,Lens,Ligue 1,Galatasaray,Super Lig,2004-2005,NA,1500000
Robbie Blake,Second Striker,28,Burnley,English Championship,Birmingham,Premier League,2004-2005,1750000,2250000
Robbie Savage,Central Midfield,30,Birmingham,Premier League,Blackburn,Premier League,2004-2005,5000000,4500000
Robert,Centre-Forward,23,Atlas,Liga MX,PSV Eindhoven,Eredivisie,2004-2005,50000,4000000
Robert Earnshaw,Centre-Forward,23,Cardiff,English Championship,West Brom,Premier League,2004-2005,NA,4500000
Robin van Persie,Centre-Forward,20,Feyenoord,Eredivisie,Arsenal,Premier League,2004-2005,NA,4500000
Rodolfo,Centre-Back,21,Fluminense,Campeonato Brasileiro Serie A,Dynamo Kyiv,Premier Liga,2004-2005,NA,2000000
Rodrigo,Centre-Back,24,Sao Paulo,Campeonato Brasileiro Serie A,Dynamo Kyiv,Premier Liga,2004-2005,NA,5000000
Roger,Attacking Midfield,26,Benfica,Liga NOS,Corinthians,Campeonato Brasileiro Serie A,2004-2005,1500000,2300000
Samuel Eto'o,Centre-Forward,23,RCD Mallorca,La Liga,FC Barcelona,La Liga,2004-2005,NA,27000000
Sean Davis,Defensive Midfield,24,Fulham,Premier League,Spurs,Premier League,2004-2005,NA,5200000
Sebastian Mila,Attacking Midfield,22,Grodzisk,Ekstraklasa,Austria Vienna,Austrian Bundesliga,2004-2005,1500000,2000000
Sergey Semak,Central Midfield,28,CSKA Moscow,Premier Liga,Paris SG,Ligue 1,2004-2005,1000000,2500000
Serghei Covalciuc,Central Midfield,22,Karpaty,Ukrainian Premier League,Spartak Moscow,Premier Liga,2004-2005,NA,1800000
Sergio Almiron,Central Midfield,23,Udinese Calcio,Serie A,FC Empoli,Serie B,2004-2005,NA,2200000
Serkan Balci,Right-Back,20,Genclerbirligi,Super Lig,Fenerbahce,Super Lig,2004-2005,NA,2000000
Seyi Olofinjana,Central Midfield,24,SK Brann,Norwegian Eliteserien,Wolves,English Championship,2004-2005,NA,2000000
Simone Barone,Central Midfield,26,Parma,Serie A,US Palermo,Serie A,2004-2005,NA,5000000
Simone Perrotta,Attacking Midfield,26,Chievo Verona,Serie A,AS Roma,Serie A,2004-2005,NA,7200000
Sixto Peralta,Central Midfield,25,Santos Laguna,Liga MX,Tigres UANL,Liga MX,2004-2005,NA,1800000
Sonny Anderson,Centre-Forward,34,Villarreal CF,La Liga,Al Rayyan,Qatar Stars League,2004-2005,4000000,2000000
Sotiris Kyrgiakos,Centre-Back,25,Panathinaikos,Super League Souroti,Rangers,Scottish Football League,2004-2005,3800000,2630000
Stefano Fiore,Attacking Midfield,29,Lazio,Serie A,Valencia CF,La Liga,2004-2005,NA,17000000
Stephen Carr,Right-Back,27,Spurs,Premier League,Newcastle,Premier League,2004-2005,NA,3000000
Stephen Makinwa,Centre-Forward,21,Genoa,Serie B,Atalanta,Serie A,2004-2005,200000,5400000
Sylvain Armand,Centre-Back,23,FC Nantes,Ligue 1,Paris SG,Ligue 1,2004-2005,NA,5000000
Sylvinho,Left-Back,30,Celta de Vigo,La Liga 2,FC Barcelona,La Liga,2004-2005,NA,1500000
Thiago Silva,Centre-Back,20,Juventude,Campeonato Brasileiro Serie A,FC Porto,Liga NOS,2004-2005,NA,2500000
Thimothee Atouba,Left-Back,22,FC Basel,Swiss Super League,Spurs,Premier League,2004-2005,NA,4500000
Thomas Buffel,Right Winger,23,Feyenoord,Eredivisie,Rangers,Scottish Football League,2004-2005,5500000,3500000
Thomas Gravesen,Defensive Midfield,28,Everton,Premier League,Real Madrid,La Liga,2004-2005,6000000,3400000
Tiago,Central Midfield,23,Benfica,Liga NOS,Chelsea,Premier League,2004-2005,NA,15000000
Tim Cahill,Attacking Midfield,24,Millwall,English Championship,Everton,Premier League,2004-2005,NA,2200000
Tobias Linderoth,Defensive Midfield,25,Everton,Premier League,FC Copenhagen,Superligaen,2004-2005,NA,1600000
Tomas Hubschman,Defensive Midfield,22,Sparta Praha,Czech First League,Shakhtar D.,Premier Liga,2004-2005,NA,3000000
Tomas Ujfalusi,Centre-Back,26,Hamburger SV,1.Bundesliga,Fiorentina,Serie A,2004-2005,NA,7500000
Tomasz Radzinski,Centre-Forward,30,Everton,Premier League,Fulham,Premier League,2004-2005,NA,3000000
Torsten Frings,Defensive Midfield,27,Bor. Dortmund,1.Bundesliga,Bayern Munich ,1.Bundesliga,2004-2005,NA,9250000
Vagner Love,Centre-Forward,20,Palmeiras,Campeonato Brasileiro Serie A,CSKA Moscow,Premier Liga,2004-2005,NA,6200000
Vahid Hashemian,Centre-Forward,27,VfL Bochum,1.Bundesliga,Bayern Munich ,1.Bundesliga,2004-2005,NA,2000000
Valeri Bojinov,Centre-Forward,18,Lecce,Serie A,Fiorentina,Serie A,2004-2005,13000000,14000000
Vedran Runje,Goalkeeper,28,Marseille,Ligue 1,Standard Liege,Jupiler Pro League,2004-2005,NA,3000000
Vladimir Manchev,Centre-Forward,26,LOSC Lille,Ligue 1,Levante UD,La Liga,2004-2005,NA,2200000
Walter Samuel,Centre-Back,26,AS Roma,Serie A,Real Madrid,La Liga,2004-2005,NA,25000000
Wayne Rooney,Second Striker,18,Everton,Premier League,Man Utd,Premier League,2004-2005,NA,37000000
Weldon,Centre-Forward,23,Ponte Preta,Campeonato Brasileiro Serie A,Al-Nasr,UAE Pro-League,2004-2005,NA,2000000
Xabi Alonso,Defensive Midfield,22,Real Sociedad,La Liga,Liverpool,Premier League,2004-2005,NA,16000000
Zlatan Ibrahimovic,Centre-Forward,22,AFC Ajax,Eredivisie,Juventus,Serie A,2004-2005,NA,16000000
Zoltan Gera,Central Midfield,25,Ferencvaros,Hungarian NB I.,West Brom,Premier League,2004-2005,NA,2250000
Abdul Kader Keita,Right Winger,23,Al Sadd,Qatar Stars League,LOSC Lille,Ligue 1,2005-2006,NA,3000000
Abou Diaby,Central Midfield,19,AJ Auxerre,Ligue 1,Arsenal,Premier League,2005-2006,3000000,3000000
Adam Virgo,Centre-Back,22,Brighton,English Championship,Celtic,Scottish Football League,2005-2006,NA,2200000
Ade Akinbiyi,Centre-Forward,31,Burnley,English Championship,Sheffield Utd.,English Championship,2005-2006,2750000,2630000
Ailton,Centre-Forward,32,FC Schalke 04,1.Bundesliga,Besiktas,Super Lig,2005-2006,8000000,3500000
Albert Luque,Left Winger,27,Dep. La Coruna,La Liga,Newcastle,Premier League,2005-2006,20000000,20000000
Albert Riera,Left Winger,23,G. Bordeaux,Ligue 1,Espanyol,La Liga,2005-2006,4750000,3000000
Alberto Gilardino,Centre-Forward,23,Parma,Serie A,AC Milan,Serie A,2005-2006,20000000,25000000
Alberto Rivera,Central Midfield,27,Levante UD,La Liga 2,Real Betis,La Liga,2005-2006,800000,3500000
Aleksandr Anyukov,Right-Back,22,KS Samara,Premier Liga,Zenit S-Pb,Premier Liga,2005-2006,NA,3000000
Aleksandr Hleb,Attacking Midfield,24,VfB Stuttgart,1.Bundesliga,Arsenal,Premier League,2005-2006,8500000,15000000
Aleksandr Samedov,Right Winger,20,Spartak Moscow,Premier Liga,Loko Moscow,Premier Liga,2005-2006,150000,4000000
Alessandro Gamberini,Centre-Back,23,Bologna,Serie B,Fiorentina,Serie A,2005-2006,300000,3000000
Alex Song,Defensive Midfield,17,SC Bastia,Ligue 2,Arsenal,Premier League,2005-2006,1250000,4000000
Alou Diarra,Defensive Midfield,23,Liverpool,Premier League,Lens,Ligue 1,2005-2006,4000000,3000000
Amr Zaki,Centre-Forward,22,Enppi,Premier League,Loko Moscow,Premier Liga,2005-2006,NA,3000000
Andrea Caracciolo,Centre-Forward,23,Brescia,Serie B,US Palermo,Serie A,2005-2006,8000000,8000000
Andreas Ivanschitz,Attacking Midfield,22,Rapid Vienna,Austrian Bundesliga,RB Salzburg,Austrian Bundesliga,2005-2006,3800000,4000000
Andrew O'Brien,Centre-Back,26,Newcastle,Premier League,Portsmouth,Premier League,2005-2006,3500000,3000000
Andy van der Meyde,Right Winger,25,Inter,Serie A,Everton,Premier League,2005-2006,12500000,9000000
Anthony Seric,Left-Back,26,Lazio,Serie A,Panathinaikos,Super League Souroti,2005-2006,600000,2000000
Antonio Cassano,Second Striker,23,AS Roma,Serie A,Real Madrid,La Liga,2005-2006,24000000,5500000
Aritz Aduriz,Centre-Forward,24,Real Valladolid,La Liga 2,Athletic Bilbao,La Liga,2005-2006,NA,3000000
Aruna Dindane,Second Striker,24,RSC Anderlecht,Jupiler Pro League,Lens,Ligue 1,2005-2006,5000000,3000000
Asier del Horno,Left-Back,24,Athletic Bilbao,La Liga,Chelsea,Premier League,2005-2006,12000000,12000000
Bakari Kone,Right Winger,23,FC Lorient,Ligue 2,OGC Nice,Ligue 1,2005-2006,2250000,2500000
Barreto,Second Striker,19,Treviso,Serie A,Udinese Calcio,Serie A,2005-2006,1000000,5000000
Ben Foster,Goalkeeper,22,Stoke City,English Championship,Man Utd,Premier League,2005-2006,50000,2000000
Benjani,Centre-Forward,27,AJ Auxerre,Ligue 1,Portsmouth,Premier League,2005-2006,4000000,6000000
Benoit Pedretti,Defensive Midfield,24,Marseille,Ligue 1,Olympique Lyon,Ligue 1,2005-2006,9000000,7500000
Bonaventure Kalou,Right Winger,27,AJ Auxerre,Ligue 1,Paris SG,Ligue 1,2005-2006,7500000,8500000
Borges,Centre-Forward,25,Parana,Campeonato Brasileiro Serie A,Vegalta Sendai,J2 League,2005-2006,NA,2000000
Bostjan Cesar,Centre-Back,22,Dinamo Zagreb,1.HNL,Marseille,Ligue 1,2005-2006,1000000,2500000
Bryan Bergougnoux,Attacking Midfield,22,Olympique Lyon,Ligue 1,Toulouse,Ligue 1,2005-2006,2500000,3400000
Camel Meriem,Attacking Midfield,25,G. Bordeaux,Ligue 1,Monaco,Ligue 1,2005-2006,6000000,6000000
Carlos Diogo,Right-Back,21,River Plate,Argentine Primera Division,Real Madrid,La Liga,2005-2006,2500000,5000000
Carlos Vela,Right Winger,16,Chivas,Liga MX,Arsenal,Premier League,2005-2006,1000000,3000000
Chun-soo Lee,Second Striker,23,Real Sociedad,La Liga,Ulsan,K-League,2005-2006,2000000,2000000
Cicinho,Right-Back,25,Sao Paulo,Campeonato Brasileiro Serie A,Real Madrid,La Liga,2005-2006,5000000,4000000
Claudio Maldonado,Defensive Midfield,26,Cruzeiro,Campeonato Brasileiro Serie A,Santos FC,Campeonato Brasileiro Serie A,2005-2006,1500000,3000000
Clinton Morrison,Centre-Forward,26,Birmingham,Premier League,Crystal Palace,English Championship,2005-2006,7000000,3000000
Costinha,Defensive Midfield,30,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,15000000,4000000
Craig Bellamy,Left Winger,26,Newcastle,Premier League,Blackburn,Premier League,2005-2006,9000000,7500000
Curtis Davies,Centre-Back,20,Luton Town,English Championship,West Brom,Premier League,2005-2006,NA,4500000
Damien Francis,Central Midfield,26,Norwich,English Championship,Wigan,Premier League,2005-2006,550000,2250000
Daniel Agger,Centre-Back,21,Brondby IF,Superligaen,Liverpool,Premier League,2005-2006,400000,8760000
Daniel Bilos,Left Midfield,24,CA Banfield,Argentine Primera Division,Boca Juniors,Argentine Primera Division,2005-2006,NA,2000000
Danny Gabbidon,Centre-Back,25,Cardiff,English Championship,West Ham,Premier League,2005-2006,600000,2000000
Danny Murphy,Central Midfield,28,Charlton,Premier League,Spurs,Premier League,2005-2006,5300000,3210000
Darius Vassell,Centre-Forward,25,Aston Villa,Premier League,Man City,Premier League,2005-2006,5750000,3600000
Darren Bent,Centre-Forward,21,Ipswich,English Championship,Charlton,Premier League,2005-2006,3500000,4500000
Darren Carter,Central Midfield,21,Birmingham,Premier League,West Brom,Premier League,2005-2006,2250000,2250000
David Connolly,Centre-Forward,28,Leicester,English Championship,Wigan,Premier League,2005-2006,2000000,3000000
David Pizarro,Central Midfield,25,Udinese Calcio,Serie A,Inter,Serie A,2005-2006,12000000,12000000
David Rozehnal,Centre-Back,25,Club Brugge,Jupiler Pro League,Paris SG,Ligue 1,2005-2006,2500000,3000000
David Villa,Centre-Forward,23,Real Zaragoza,La Liga,Valencia CF,La Liga,2005-2006,12000000,12000000
Dean Ashton,Centre-Forward,22,Norwich,English Championship,West Ham,Premier League,2005-2006,6500000,10890000
Deivid,Centre-Forward,25,Santos FC,Campeonato Brasileiro Serie A,Sporting CP,Liga NOS,2005-2006,3500000,3500000
Denis Kolodin,Centre-Back,23,KS Samara,Premier Liga,Dinamo Moscow,Premier Liga,2005-2006,NA,2000000
Dennis Oliech,Right Winger,20,Al Arabi,Qatar Stars League,FC Nantes,Ligue 1,2005-2006,NA,2700000
Diomansy Kamara,Right Winger,24,Modena,Serie B,West Brom,Premier League,2005-2006,2500000,2250000
Domenico Morfeo,Attacking Midfield,29,Inter,Serie A,Parma,Serie A,2005-2006,6000000,7500000
Edixon Perea,Centre-Forward,21,Atl. Nacional,Colombian CategorÌa Primera A ,G. Bordeaux,Ligue 1,2005-2006,NA,2500000
Eduardo Costa,Defensive Midfield,22,Marseille,Ligue 1,Espanyol,La Liga,2005-2006,3000000,4000000
Edwin van der Sar,Goalkeeper,34,Fulham,Premier League,Man Utd,Premier League,2005-2006,4750000,4000000
Eldin Jakupovic,Goalkeeper,21,Grasshoppers,Swiss Super League,Loko Moscow,Premier Liga,2005-2006,750000,2000000
El-Hadji Diouf,Centre-Forward,24,Liverpool,Premier League,Bolton,Premier League,2005-2006,6500000,4800000
Elvis Abbruscato,Centre-Forward,25,Arezzo,Serie B,Torino,Serie B,2005-2006,700000,3600000
Emanuel Pogatetz,Centre-Back,22,Bay. Leverkusen,1.Bundesliga,Middlesbrough,Premier League,2005-2006,3000000,2710000
Emerson Sheik,Left Winger,26,Urawa Reds,J1 League,Al Sadd,Qatar Stars League,2005-2006,NA,6000000
Emiliano Bonazzoli,Centre-Forward,26,Reggina,Serie A,Parma,Serie A,2005-2006,4000000,4150000
Emir Spahic,Centre-Back,25,Torpedo Moscow,Premier Liga,Loko Moscow,Premier Liga,2005-2006,2000000,3000000
Emmanuel Adebayor,Centre-Forward,21,Monaco,Ligue 1,Arsenal,Premier League,2005-2006,7500000,10000000
Emre Belozoglu,Central Midfield,24,Inter,Serie A,Newcastle,Premier League,2005-2006,12000000,5000000
Enzo Maresca,Central Midfield,25,Juventus,Serie A,Sevilla FC,La Liga,2005-2006,7500000,2500000
Erik Edman,Left-Back,26,Spurs,Premier League,Stade Rennais,Ligue 1,2005-2006,3000000,3000000
Ewerthon,Centre-Forward,24,Bor. Dortmund,1.Bundesliga,Real Zaragoza,La Liga,2005-2006,12000000,3500000
Fabrice Pancrate,Right Winger,25,Le Mans,Ligue 1,Paris SG,Ligue 1,2005-2006,4000000,3000000
Federico Insua,Attacking Midfield,25,Independiente,Argentine Primera Division,Boca Juniors,Argentine Primera Division,2005-2006,4500000,2480000
Felipe,Left Winger,27,Fluminense,Campeonato Brasileiro Serie A,Al Sadd,Qatar Stars League,2005-2006,NA,2500000
Fernandinho,Defensive Midfield,20,Atletico-PR,Campeonato Brasileiro Serie A,Shakhtar D.,Premier Liga,2005-2006,500000,7800000
Filip Holosko,Right Winger,22,Slovan Liberec,Czech First League,Manisaspor,Super Lig,2005-2006,NA,3300000
Fran Merida,Central Midfield,15,Barcelona Yth.,La Liga,Arsenal U18,Premier League,2005-2006,NA,3200000
Franca,Centre-Forward,29,Bay. Leverkusen,1.Bundesliga,Kashiwa Reysol,J1 League,2005-2006,5000000,2500000
Fred,Centre-Forward,21,Cruzeiro,Campeonato Brasileiro Serie A,Olympique Lyon,Ligue 1,2005-2006,7500000,15600000
Frederic Kanoute,Centre-Forward,27,Spurs,Premier League,Sevilla FC,La Liga,2005-2006,7500000,6500000
Frederic Piquionne,Centre-Forward,26,Stade Rennais,Ligue 1,Saint-Etienne,Ligue 1,2005-2006,4000000,3000000
Garry O'Connor,Centre-Forward,22,Hibernian FC,Scottish Football League,Loko Moscow,Premier Liga,2005-2006,2000000,2400000
Georgios Samaras,Left Winger,20,Heerenveen,Eredivisie,Man City,Premier League,2005-2006,3000000,8500000
Georgios Seitaridis,Right-Back,24,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,8000000,10000000
Giorgio Chiellini,Centre-Back,20,Fiorentina,Serie A,Juventus,Serie A,2005-2006,9000000,7700000
Grafite,Centre-Forward,26,Sao Paulo,Campeonato Brasileiro Serie A,Le Mans,Ligue 1,2005-2006,NA,3500000
Grzegorz Rasiak,Centre-Forward,26,Derby,English Championship,Spurs,Premier League,2005-2006,3500000,3500000
Grzegorz Rasiak,Centre-Forward,26,Spurs,Premier League,Southampton,English Championship,2005-2006,3500000,3000000
Gustavo Nery,Left-Back,27,Werder Bremen,1.Bundesliga,Corinthians,Campeonato Brasileiro Serie A,2005-2006,2500000,2200000
Heidar Helguson,Centre-Forward,27,Watford,English Championship,Fulham,Premier League,2005-2006,200000,2000000
Henri Camara,Centre-Forward,28,Wolves,English Championship,Wigan,Premier League,2005-2006,3500000,6450000
Hossam Ghaly,Central Midfield,24,Feyenoord,Eredivisie,Spurs,Premier League,2005-2006,2500000,3000000
Igor Semshov,Central Midfield,27,Torpedo Moscow,Premier Liga,Dinamo Moscow,Premier Liga,2005-2006,4000000,4500000
Ivica Dragutinovic,Centre-Back,29,Standard Liege,Jupiler Pro League,Sevilla FC,La Liga,2005-2006,2500000,2100000
James Collins,Centre-Back,21,Cardiff,English Championship,West Ham,Premier League,2005-2006,600000,2000000
Jan Kromkamp,Right-Back,24,AZ Alkmaar,Eredivisie,Villarreal CF,La Liga,2005-2006,8000000,6000000
Javier Arizmendi,Centre-Forward,21,Atletico Madrid,La Liga,Dep. La Coruna,La Liga,2005-2006,1500000,2000000
Javier Mascherano,Defensive Midfield,21,River Plate,Argentine Primera Division,Corinthians,Campeonato Brasileiro Serie A,2005-2006,11800000,11800000
Jeremy Mathieu,Centre-Back,21,FC Sochaux,Ligue 1,Toulouse,Ligue 1,2005-2006,3500000,5000000
Jermaine Jenas,Central Midfield,22,Newcastle,Premier League,Spurs,Premier League,2005-2006,9000000,15000000
Jesper Gronkjaer,Left Winger,27,Atletico Madrid,La Liga,VfB Stuttgart,1.Bundesliga,2005-2006,6500000,3000000
Jhon Viafara,Defensive Midfield,26,Once Caldas,Colombian CategorÌa Primera A ,Portsmouth,Premier League,2005-2006,NA,2400000
Ji-seong Park,Attacking Midfield,24,PSV Eindhoven,Eredivisie,Man Utd,Premier League,2005-2006,5000000,7300000
Jo,Centre-Forward,18,Corinthians,Campeonato Brasileiro Serie A,CSKA Moscow,Premier Liga,2005-2006,5000000,5000000
Joao Alves,Central Midfield,24,Braga,Liga NOS,Sporting CP,Liga NOS,2005-2006,3000000,2000000
John Carew,Centre-Forward,25,Besiktas,Super Lig,Olympique Lyon,Ligue 1,2005-2006,7000000,7600000
John Utaka,Left Winger,23,Lens,Ligue 1,Stade Rennais,Ligue 1,2005-2006,7000000,6000000
John Welsh,Central Midfield,21,Liverpool,Premier League,Hull City,English Championship,2005-2006,250000,2250000
Jon Dahl Tomasson,Centre-Forward,28,AC Milan,Serie A,VfB Stuttgart,1.Bundesliga,2005-2006,15000000,7500000
Jon Stead,Centre-Forward,22,Blackburn,Premier League,Sunderland,Premier League,2005-2006,3000000,2700000
Jonas Gutierrez,Left Midfield,22,Velez Sarsfield,Argentine Primera Division,RCD Mallorca,La Liga,2005-2006,NA,3500000
Jorge Luis,Left-Back,29,Braga,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,1000000,2500000
Joseph Enakarhire,Centre-Back,22,Sporting CP,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,2250000,6000000
Juan,Attacking Midfield,23,Fluminense,Campeonato Brasileiro Serie A,Flamengo,Campeonato Brasileiro Serie A,2005-2006,250000,2000000
Julio Baptista,Attacking Midfield,23,Sevilla FC,La Liga,Real Madrid,La Liga,2005-2006,25000000,20000000
Julio dos Santos,Central Midfield,22,Cerro Porteno,Paraguayan Primera DivisiÛn,Bayern Munich ,1.Bundesliga,2005-2006,2000000,2700000
Kevin Kuranyi,Centre-Forward,23,VfB Stuttgart,1.Bundesliga,FC Schalke 04,1.Bundesliga,2005-2006,8000000,6900000
Klaas-Jan Huntelaar,Centre-Forward,22,Heerenveen,Eredivisie,AFC Ajax,Eredivisie,2005-2006,4750000,9000000
Kleberson,Central Midfield,26,Man Utd,Premier League,Besiktas,Super Lig,2005-2006,5500000,2600000
Lassana Diarra,Defensive Midfield,20,AC Le Havre,Ligue 2,Chelsea,Premier League,2005-2006,NA,4500000
Leandro Fernandez,Centre-Back,22,River Plate,Argentine Primera Division,Dinamo Moscow,Premier Liga,2005-2006,NA,3000000
